Time (s),A/D Value
1.60E-06,0.04928917
1.61E-06,0.04926437
1.61E-06,0.04929262
1.61E-06,0.04933646
1.62E-06,0.04938685
1.62E-06,0.04941857
1.63E-06,0.04942645
1.63E-06,0.04945676
1.63E-06,0.0494713
1.64E-06,0.04943217
1.64E-06,0.04942474
1.65E-06,0.04947832
1.65E-06,0.0495313
1.65E-06,0.04957909
1.66E-06,0.04960442
1.66E-06,0.04958121
1.67E-06,0.04955694
1.67E-06,0.04955442
1.67E-06,0.04958288
1.68E-06,0.04964145
1.68E-06,0.0496994
1.69E-06,0.0497407
1.69E-06,0.04975475
1.69E-06,0.04974716
1.70E-06,0.04972939
1.70E-06,0.04972418
1.71E-06,0.04974866
1.71E-06,0.04977871
1.71E-06,0.04979909
1.72E-06,0.04980533
1.72E-06,0.04982123
1.73E-06,0.04984721
1.73E-06,0.04982975
1.73E-06,0.04979543
1.74E-06,0.04980759
1.74E-06,0.04987078
1.75E-06,0.04993793
1.75E-06,0.04995912
1.76E-06,0.04995813
1.76E-06,0.04997258
1.76E-06,0.04997499
1.77E-06,0.04996019
1.77E-06,0.0499685
1.78E-06,0.05001508
1.78E-06,0.05007077
1.78E-06,0.0501152
1.79E-06,0.0501413
1.79E-06,0.05013437
1.80E-06,0.05010751
1.80E-06,0.05009061
1.80E-06,0.05009633
1.81E-06,0.05012131
1.81E-06,0.05017279
1.82E-06,0.0502158
1.82E-06,0.05022595
1.82E-06,0.05024208
1.83E-06,0.05022246
1.83E-06,0.05016455
1.84E-06,0.05016916
1.84E-06,0.05023227
1.84E-06,0.05029444
1.85E-06,0.05033417
1.85E-06,0.0503719
1.86E-06,0.05040373
1.86E-06,0.05037244
1.86E-06,0.05034671
1.87E-06,0.05038115
1.87E-06,0.05040396
1.88E-06,0.05042631
1.88E-06,0.05047346
1.88E-06,0.05052039
1.89E-06,0.05052607
1.89E-06,0.05047103
1.90E-06,0.05042327
1.90E-06,0.05042484
1.90E-06,0.05046502
1.91E-06,0.05051817
1.91E-06,0.05056871
1.92E-06,0.05059179
1.92E-06,0.05056517
1.92E-06,0.05053223
1.93E-06,0.05051736
1.93E-06,0.05053311
1.94E-06,0.05057548
1.94E-06,0.05062847
1.94E-06,0.05068635
1.95E-06,0.05071116
1.95E-06,0.05071137
1.96E-06,0.05070273
1.96E-06,0.0506907
1.96E-06,0.05072334
1.97E-06,0.05078899
1.97E-06,0.05083541
1.98E-06,0.05086438
1.98E-06,0.0508851
1.98E-06,0.05089753
1.99E-06,0.05086884
1.99E-06,0.0508303
2.00E-06,0.05084672
2.00E-06,0.05087414
2.00E-06,0.05089625
2.01E-06,0.05093018
2.01E-06,0.05096899
2.02E-06,0.05098796
2.02E-06,0.05096421
2.02E-06,0.05094901
2.03E-06,0.0509706
2.03E-06,0.05100323
2.04E-06,0.05105699
2.04E-06,0.05112444
2.04E-06,0.0511607
2.05E-06,0.0511624
2.05E-06,0.05114394
2.06E-06,0.05111429
2.06E-06,0.05112799
2.06E-06,0.0511595
2.07E-06,0.0511707
2.07E-06,0.05120841
2.08E-06,0.05126172
2.08E-06,0.05129458
2.08E-06,0.05125889
2.09E-06,0.05119908
2.09E-06,0.05118576
2.10E-06,0.05120752
2.10E-06,0.05129332
2.10E-06,0.05136065
2.11E-06,0.05136196
2.11E-06,0.0513844
2.12E-06,0.05138881
2.12E-06,0.05135321
2.12E-06,0.05133103
2.13E-06,0.0513374
2.13E-06,0.05140649
2.14E-06,0.05150092
2.14E-06,0.0515487
2.14E-06,0.05156313
2.15E-06,0.05153955
2.15E-06,0.05150968
2.16E-06,0.05152508
2.16E-06,0.05155713
2.16E-06,0.05160317
2.17E-06,0.05166038
2.17E-06,0.05168282
2.18E-06,0.05165257
2.18E-06,0.0515975
2.18E-06,0.0515779
2.19E-06,0.05161515
2.19E-06,0.05164833
2.20E-06,0.05166863
2.20E-06,0.05171311
2.20E-06,0.05175301
2.21E-06,0.05178367
2.21E-06,0.05178266
2.22E-06,0.05174709
2.22E-06,0.05174585
2.22E-06,0.05177731
2.23E-06,0.05182111
2.23E-06,0.05187091
2.24E-06,0.05191185
2.24E-06,0.05192785
2.24E-06,0.05189788
2.25E-06,0.05187573
2.25E-06,0.05191237
2.26E-06,0.05196002
2.26E-06,0.05199105
2.27E-06,0.05200626
2.27E-06,0.05202128
2.27E-06,0.05204366
2.28E-06,0.05202253
2.28E-06,0.05199124
2.29E-06,0.05200108
2.29E-06,0.05201205
2.29E-06,0.05203993
2.30E-06,0.05210459
2.30E-06,0.05214001
